file name,domain reading time,observations reading time,
1-5-2-5-2-full-100_andObservations-15,45860757,485500,1
1-5-2-5-2-full-100_andObservations-89,69720276,700024,2
1-5-2-5-2-full-100_andObservations-87,69452508,782562,1
1-5-2-5-2-full-100_andObservations-36,44943358,481507,1
1-5-2-5-2-full-100_andObservations-7,45189086,464235,1
1-5-2-5-2-full-100_andObservations-40,78432725,652679,1
1-5-2-5-2-full-100_andObservations-53,84202787,465230,1
1-5-2-5-2-full-100_andObservations-39,65264935,757081,1
1-5-2-5-2-full-100_andObservations-43,57783740,459130,1
1-5-2-5-2-full-100_andObservations-66,59538159,669352,1
1-5-2-5-2-full-100_andObservations-75,47612383,519677,2
1-5-2-5-2-full-100_andObservations-68,63862540,432823,1
1-5-2-5-2-full-100_andObservations-94,60521133,509158,1
1-5-2-5-2-full-100_andObservations-21,47056967,430440,1
1-5-2-5-2-full-100_andObservations-97,72209205,622496,1
1-5-2-5-2-full-100_andObservations-46,59764295,841287,1
1-5-2-5-2-full-100_andObservations-62,45466956,485218,1
1-5-2-5-2-full-100_andObservations-52,45323409,485435,1
1-5-2-5-2-full-100_andObservations-11,58627164,652455,3
1-5-2-5-2-full-100_andObservations-32,62406452,481175,1
1-5-2-5-2-full-100_andObservations-26,45773879,470799,1
1-5-2-5-2-full-100_andObservations-88,70133601,742923,1
1-5-2-5-2-full-100_andObservations-6,72543472,718684,1
1-5-2-5-2-full-100_andObservations-85,71047974,652013,1
1-5-2-5-2-full-100_andObservations-54,73112729,746943,1
1-5-2-5-2-full-100_andObservations-65,58013510,434451,1
1-5-2-5-2-full-100_andObservations-70,47253777,433369,1
1-5-2-5-2-full-100_andObservations-41,49927314,385713,1
1-5-2-5-2-full-100_andObservations-82,65231370,702472,1
1-5-2-5-2-full-100_andObservations-73,78059111,703260,1
1-5-2-5-2-full-100_andObservations-37,53271231,438702,1
1-5-2-5-2-full-100_andObservations-4,44197527,443075,1
1-5-2-5-2-full-100_andObservations-47,75184717,660831,1
1-5-2-5-2-full-100_andObservations-2,60717127,447826,1
1-5-2-5-2-full-100_andObservations-10,43220639,437067,1
1-5-2-5-2-full-100_andObservations-1,72010078,474231,2
1-5-2-5-2-full-100_andObservations-3,65326280,425764,1
1-5-2-5-2-full-100_andObservations-5,49055767,463927,1
1-5-2-5-2-full-100_andObservations-95,63207901,474551,1
1-5-2-5-2-full-100_andObservations-63,66908492,455485,1
1-5-2-5-2-full-100_andObservations-64,51385666,432469,1
1-5-2-5-2-full-100_andObservations-72,61725395,397256,1
1-5-2-5-2-full-100_andObservations-42,63061964,432017,3
1-5-2-5-2-full-100_andObservations-77,46155805,449304,1
1-5-2-5-2-full-100_andObservations-51,63523526,457163,2
1-5-2-5-2-full-100_andObservations-17,63820420,390179,2
1-5-2-5-2-full-100_andObservations-44,72601981,702591,2
1-5-2-5-2-full-100_andObservations-91,71023230,506775,1
1-5-2-5-2-full-100_andObservations-45,72869625,720220,1
1-5-2-5-2-full-100_andObservations-34,73670609,1059061,1
1-5-2-5-2-full-100_andObservations-99,76840257,409646,1
1-5-2-5-2-full-100_andObservations-29,43686923,456460,1
1-5-2-5-2-full-100_andObservations-80,51860886,676906,3
1-5-2-5-2-full-100_andObservations-83,59533169,1556723,1
1-5-2-5-2-full-100_andObservations-50,72268739,516037,1
1-5-2-5-2-full-100_andObservations-18,47633118,430785,1
1-5-2-5-2-full-100_andObservations-27,63714534,679997,1
1-5-2-5-2-full-100_andObservations-28,68875172,1238591,1
1-5-2-5-2-full-100_andObservations-22,63353569,657896,2
1-5-2-5-2-full-100_andObservations-69,52937273,674176,1
1-5-2-5-2-full-100_andObservations-12,75372290,468787,2
1-5-2-5-2-full-100_andObservations-60,47839142,423840,1
1-5-2-5-2-full-100_andObservations-58,43562242,432402,1
1-5-2-5-2-full-100_andObservations-84,87243323,694768,1
1-5-2-5-2-full-100_andObservations-98,52864641,436093,1
1-5-2-5-2-full-100_andObservations-78,43552589,456424,1
1-5-2-5-2-full-100_andObservations-56,67765813,791585,2
1-5-2-5-2-full-100_andObservations-100,60052793,452200,2
1-5-2-5-2-full-100_andObservations-79,49128195,444482,3
1-5-2-5-2-full-100_andObservations-71,58055758,641993,1
1-5-2-5-2-full-100_andObservations-55,69980833,633476,1
1-5-2-5-2-full-100_andObservations-13,43402795,461728,1
1-5-2-5-2-full-100_andObservations-25,77595971,461172,2
1-5-2-5-2-full-100_andObservations-67,62710607,630699,2
1-5-2-5-2-full-100_andObservations-30,47752010,642604,2
1-5-2-5-2-full-100_andObservations-93,73514469,465293,3
1-5-2-5-2-full-100_andObservations-74,68012696,390653,1
1-5-2-5-2-full-100_andObservations-19,76727404,693386,1
1-5-2-5-2-full-100_andObservations-59,90691194,689893,2
1-5-2-5-2-full-100_andObservations-92,60499799,598431,1
1-5-2-5-2-full-100_andObservations-9,65271577,786980,1
1-5-2-5-2-full-100_andObservations-48,72349321,663190,1
1-5-2-5-2-full-100_andObservations-16,63206778,516709,2
1-5-2-5-2-full-100_andObservations-61,85327234,714922,2
1-5-2-5-2-full-100_andObservations-57,65179501,581414,1
1-5-2-5-2-full-100_andObservations-24,56156595,493989,1
1-5-2-5-2-full-100_andObservations-96,76291657,1008255,1
1-5-2-5-2-full-100_andObservations-35,71246947,799464,1
1-5-2-5-2-full-100_andObservations-14,73663848,756664,2
1-5-2-5-2-full-100_andObservations-86,75028172,525577,1
1-5-2-5-2-full-100_andObservations-33,104593332,715825,1
1-5-2-5-2-full-100_andObservations-20,75266064,1200069,1
1-5-2-5-2-full-100_andObservations-76,78062263,816412,2
1-5-2-5-2-full-100_andObservations-23,65773964,451468,1
1-5-2-5-2-full-100_andObservations-31,69091514,642132,1
1-5-2-5-2-full-100_andObservations-38,69000936,454706,1
1-5-2-5-2-full-100_andObservations-90,60201985,553226,2
1-5-2-5-2-full-100_andObservations-81,60513296,439729,1
1-5-2-5-2-full-100_andObservations-49,75770593,605029,1
1-5-2-5-2-full-100_andObservations-8,67230383,516687,1
,,,
,,516362,
